Time [s],Value,Parity Error,Framing Error
1.5122749375,0xDF,,
1.5142188125,0xFF,,
1.5142288125,0xFF,,
1.5142388125,0x02,,
1.5142488125,0x05,,
1.5142588125,0x03,,
1.5142688125,0x1E,,
1.5142788125,0xEC,,
1.5142888125,0x01,,
1.514298875,0xEA,,
1.5163065,0xFF,,
1.5163165,0xFF,,
1.5163265,0x03,,
1.5163365625,0x05,,
1.5163465625,0x03,,
1.5163565625,0x1E,,
1.5163665625,0x25,,
1.5163765625,0x02,,
1.5163865625,0xAF,,
1.518258875,0xFF,,
1.518268875,0xFF,,
1.518278875,0x04,,
1.518288875,0x05,,
1.518298875,0x03,,
1.518308875,0x1E,,
1.518318875,0x18,,
1.518328875,0x02,,
1.518338875,0xBB,,
1.5190585,0xFF,,
1.5190685,0xFF,,
1.5190785,0x17,,
1.5190885,0x05,,
1.5190985,0x03,,
1.5191085,0x1E,,
1.5191185625,0x6A,,
1.5191285625,0x02,,
1.5191385625,0x56,,
1.5193165625,0xFF,,
1.5193265625,0xFF,,
1.519336625,0x12,,
1.519346625,0x05,,
1.519356625,0x03,,
1.519366625,0x1E,,
1.519376625,0xD1,,
1.519386625,0x02,,
1.519396625,0xF4,,
1.519579625,0xFF,,
1.519589625,0xFF,,
1.519599625,0x10,,
1.519609625,0x05,,
1.519619625,0x03,,
1.519629625,0x1E,,
1.519639625,0x00,,
1.519649625,0x02,,
1.5196596875,0xC7,,
1.5198249375,0xFF,,
1.5198349375,0xFF,,
1.5198449375,0x23,,
1.5198549375,0x04,,
1.5198649375,0x03,,
1.519875,0x20,,
1.519885,0xFF,,
1.519895,0xB6,,
1.5352205625,0xFF,,
1.5352305625,0xFF,,
1.5352405625,0x01,,
1.5352505625,0x05,,
1.5352605625,0x03,,
1.5352705625,0x1E,,
1.5352805625,0xF8,,
1.5352905625,0x01,,
1.535300625,0xDF,,
1.537223875,0xFF,,
1.5372339375,0xFF,,
1.5372439375,0x02,,
1.5372539375,0x05,,
1.5372639375,0x03,,
1.5372739375,0x1E,,
1.5372839375,0xED,,
1.5372939375,0x01,,
1.5373039375,0xE9,,
1.539318,0xFF,,
1.539328,0xFF,,
1.539338,0x03,,
1.539348,0x05,,
1.539358,0x03,,
1.539368,0x1E,,
1.5393780625,0x27,,
1.5393880625,0x02,,
1.5393980625,0xAD,,
1.5412575625,0xFF,,
1.5412675625,0xFF,,
1.5412775625,0x04,,
1.5412875625,0x05,,
1.5412975625,0x03,,
1.541307625,0x1E,,
1.541317625,0x1A,,
1.541327625,0x02,,
1.541337625,0xB9,,
1.5420714375,0xFF,,
1.5420814375,0xFF,,
1.5420914375,0x17,,
1.5421014375,0x05,,
1.5421114375,0x03,,
1.5421214375,0x1E,,
1.5421314375,0x6B,,
1.5421414375,0x02,,
1.5421514375,0x55,,
1.5423216875,0xFF,,
1.5423316875,0xFF,,
1.5423416875,0x12,,
1.5423516875,0x05,,
1.5423616875,0x03,,
1.54237175,0x1E,,
1.54238175,0xD0,,
1.54239175,0x02,,
1.54240175,0xF5,,
1.5425719375,0xFF,,
1.5425819375,0xFF,,
1.542592,0x10,,
1.542602,0x05,,
1.542612,0x03,,
1.542622,0x1E,,
1.542632,0x00,,
1.542642,0x02,,
1.542652,0xC7,,
1.5428173125,0xFF,,
1.5428273125,0xFF,,
1.5428373125,0x23,,
1.5428473125,0x04,,
1.5428573125,0x03,,
1.5428673125,0x20,,
1.5428773125,0x00,,
1.5428873125,0xB5,,
1.558536375,0xFF,,
1.558546375,0xFF,,
1.5585564375,0x01,,
1.5585664375,0x05,,
1.5585764375,0x03,,
1.5585864375,0x1E,,
1.5585964375,0xF9,,
1.5586064375,0x01,,
1.5586164375,0xDE,,
1.560558875,0xFF,,
1.560568875,0xFF,,
1.560578875,0x02,,
1.5605889375,0x05,,
1.5605989375,0x03,,
1.5606089375,0x1E,,
1.5606189375,0xED,,
1.5606289375,0x01,,
1.5606389375,0xE9,,
1.56264025,0xFF,,
1.56265025,0xFF,,
